"","Sum Sq","Df","F value","Pr(>F)","Sum Sq","Df","F value","Pr(>F)","Sum Sq","Df","F value","Pr(>F)"
"stand_nod",0.340235125399647,1,12.9902534187167,0.00130051636384827,0.242117152853539,1,50.9635262757258,2.22781383842823e-07,0.0523284228360039,1,37.1663774808258,1.92086676093965e-06
"Residuals",0.680980807321673,26,NA,NA,0.114019026804522,24,NA,NA,0.0366067151537168,26,NA,NA
"stand_nod1",0.141801507021046,1,5.56234591244997,0.0264772515822478,0.0253256379737346,1,5.11553698616171,0.0334729422112681,0.0087439884739306,1,6.07588937950003,0.0209228105163883
"I(stand_nod^2)",0.043653008705008,1,1.71234523269493,0.202584229672363,0.000152256811143586,1,0.0307544216500224,0.862324152003478,0.000628490700549857,1,0.436716034561383,0.514755937884074
"Residuals1",0.637327798616665,25,NA,NA,0.113866769993378,23,NA,NA,0.0359782244531669,25,NA,NA
"stand_nod2",0.00227095281900147,1,0.0515958646054733,0.822085859082234,1.42702445898133,1,3.58787574257134,0.0703159994363789,5.85326451988121,1,10.6856693276634,0.00303551200260814
"Residuals2",1.14437026582504,26,NA,NA,9.54564468584603,24,NA,NA,14.2419602226442,26,NA,NA
"stand_nod3",0.0169920556026764,1,0.383460726644827,0.541359517527746,0.0125085726487697,1,0.0337416247106436,0.855867290816826,1.03311693593968,1,1.8377878649337,0.187331521198228
"I(stand_nod^2)1",0.0365608852300543,1,0.825071665542723,0.372375041714595,1.01916816348253,1,2.74918575083349,0.110882032490433,0.188149175511267,1,0.334694224364234,0.568083766242695
"Residuals3",1.10780938059499,25,NA,NA,8.52647652236351,23,NA,NA,14.053811047133,25,NA,NA
"stand_nod4",0.0106089381379656,1,0.27811024477499,0.602414035064726,3.26139174946107,1,1.51397588607376,0.230457480124255,2.4457632588073,1,4.37366178276686,0.0464144326764599
"Residuals4",0.991809531541251,26,NA,NA,51.7005605618028,24,NA,NA,14.5392688980998,26,NA,NA
"stand_nod5",0.103162983881031,1,2.96641210672932,0.0973615108413895,10.3339162263247,1,5.39642675231976,0.0293780523811092,1.9148041167662,1,3.32905025155601,0.0800404213371647
"I(stand_nod^2)2",0.122383941221176,1,3.51910337652129,0.0723889449677195,7.65658774158506,1,3.99831138701502,0.0574932198249288,0.159761440445628,1,0.277758888675613,0.602819679750107
"Residuals5",0.869425590320076,25,NA,NA,44.0439728202177,23,NA,NA,14.3795074576541,25,NA,NA
"stand_nod6",0.0900336932494084,1,1.44393823386248,0.240334624014426,5.12808034338666,1,10.112647896326,0.00403067462803104,4.33371573641215,1,11.6393529561717,0.00212151206680367
"Residuals6",1.621174624778,26,NA,NA,12.1702969887831,24,NA,NA,9.6806591887885,26,NA,NA
"stand_nod7",0.0563597037050156,1,0.878568381753448,0.357561625847142,0.366553301778032,1,0.701187418855069,0.411002064434475,0.0815881066945447,1,0.217726782136491,0.644818214998197
"I(stand_nod^2)3",0.0174376569015544,1,0.271828505092143,0.606696149800058,0.146798400259065,1,0.280813706684435,0.601247113083996,0.312483866723849,1,0.833897359894254,0.369871059140066
"Residuals7",1.60373696787645,25,NA,NA,12.023498588524,23,NA,NA,9.36817532206465,25,NA,NA
"stand_nod8",0.0215002422777835,1,0.362117232211393,0.552544397244194,0.172518271161386,1,2.05901778271008,0.164211851991387,0.0908207809473105,1,1.2641068409565,0.271148628909067
"Residuals8",1.543716369996,26,NA,NA,2.0108804026081,24,NA,NA,1.86799108123119,26,NA,NA
"stand_nod9",0.161937119039676,1,2.89619447156167,0.101194709892377,0.00506584103761898,1,0.058595596042288,0.810874934702491,0.102661889466687,1,1.49072124427903,0.233495079306309
"I(stand_nod^2)4",0.145872400696196,1,2.60888203368766,0.118818374283876,0.0224315816224865,1,0.259461733121932,0.615342789626637,0.146309548538955,1,2.12451527417744,0.157406707922498
"Residuals9",1.3978439692998,25,NA,NA,1.98844882098561,23,NA,NA,1.72168153269223,25,NA,NA
