"","Sum Sq","Df","F value","Pr(>F)","Sum Sq","Df","F value","Pr(>F)"
"stand_nod",2.13106113989295,1,1.23696496560059,0.276235130681881,1.6440595874063,1,1.37242461091709,0.252020018655492
"Residuals",44.793176183704,26,NA,NA,31.1460089920716,26,NA,NA
"stand_nod1",0.0334584872614982,1,0.0189340421017455,0.891658006365314,0.827235512797774,1,0.665036986185068,0.422489162331417
"I(stand_nod^2)",0.615489399097974,1,0.348303320010207,0.560372410016176,0.0486591460447414,1,0.0391184026015632,0.844813680983088
"Residuals1",44.1776867846061,25,NA,NA,31.0973498460268,25,NA,NA
"stand_nod2",1.19293736995654,1,0.264964654755369,0.611078168183895,1.40150558605649,1,0.142375859147842,0.708992943438869
"Residuals2",117.058524834213,26,NA,NA,255.936262338059,26,NA,NA
"stand_nod3",1.15291399544174,1,0.246615650419262,0.623806914896965,0.0874256872056662,1,0.00862458160368769,0.926748165273227
"I(stand_nod^2)1",0.184961307150274,1,0.0395644022412832,0.843943515103172,2.51617999955783,1,0.248222237987131,0.622684492887701
"Residuals3",116.873563527062,25,NA,NA,253.420082338501,25,NA,NA
"stand_nod4",0.00661333346814708,1,0.0275793523885048,0.869386284522361,0.0189130225343725,1,0.165396825928538,0.687564082282895
"Residuals4",6.23461594564098,26,NA,NA,2.9730835711814,26,NA,NA
"stand_nod5",0.260905503502182,1,1.10748520058622,0.302695292195322,0.120720223081479,1,1.08371900319054,0.307830526267972
"I(stand_nod^2)2",0.345022491839573,1,1.46454290328342,0.237527168178156,0.188223687621382,1,1.68970518707719,0.205497994928639
"Residuals5",5.88959345380141,25,NA,NA,2.78485988356002,25,NA,NA
