"","Sum Sq","Df","F value","Pr(>F)","Sum Sq","Df","F value","Pr(>F)","Sum Sq","Df","F value","Pr(>F)","Sum Sq","Df","F value","Pr(>F)"
"(Intercept)",23.3960030599848,1,508.43433013376,9.2576219015017e-47,13.1597264915371,1,508.434330133759,9.25762190150236e-47,141.324297846261,1,2842.80251667554,3.19312978300289e-90,23.1314236785383,1,465.299106026138,8.81552435043067e-45
"stand_nod",0.0348654239413024,1,0.757684054877925,0.385658757633556,0.0196110182539586,1,0.757684054877929,0.385658757633554,0.163850129548637,1,3.29591986471562,0.0717570529299898,0.0291305562602089,1,0.585974385938697,0.445367583309014
"env",1.18081569597553,4,6.41527567610021,9.62428585137088e-05,0.664182320207057,4,6.41527567610025,9.6242858513704e-05,0.0486770932854004,4,0.244790466687338,0.912368227064821,0.28202769722837,4,1.41827884459967,0.231485820424461
"stand_nod:env",0.101979099587314,4,0.554044157172736,0.696409559317311,0.0573609541331268,4,0.554044157172734,0.696409559317313,0.385225534033529,4,1.93724669842251,0.108052301453702,0.127220948899134,4,0.639776809819609,0.635058489472022
"Residuals",5.98205159946196,130,NA,NA,3.36476973034012,130,NA,NA,6.46269257616209,130,NA,NA,6.46269257616209,130,NA,NA
"(Intercept)1",43.979391681107,1,69.8627095255373,1.30954286284163e-13,1745755.82344719,1,69.8627095255372,1.30954286284169e-13,129.55838575959,1,242.621890686577,1.3508181318239e-30,45.3170611213899,1,84.8645264076773,1.29058308340168e-15
"stand_nod1",7.92914436214117,1,12.5957064930548,0.00055291535072831,314746.280383589,1,12.5957064930548,0.000552915350728321,13.803364027834,1,25.8493362558762,1.37585080435874e-06,11.266785699407,1,21.0991271026104,1.08433096992539e-05
"env1",43.7793825200035,4,17.3862470994358,2.81925314934376e-11,1737816.48767213,4,17.3862470994358,2.81925314934376e-11,0.191180893270527,4,0.0895053406163067,0.985584675474993,11.2499566503607,4,5.26690290375609,0.000607467977104437
"stand_nod:env1",8.17052030328909,4,3.24478502772474,0.014452570603151,324327.664727294,4,3.24478502772472,0.0144525706031513,2.6016572252388,4,1.21802033732715,0.306781748153474,6.8908619381413,4,3.22610138681868,0.0148819837007233
"Residuals1",75.5414016658445,120,NA,NA,2998605.41104674,120,NA,NA,64.0791572728889,120,NA,NA,64.0791572728889,120,NA,NA
"(Intercept)2",49.2383099496294,1,158.571649676326,2.8928092340614e-24,97495.7779124185,1,158.571649676326,2.89280923406134e-24,140,1,354.011075545131,6.33250891861542e-39,48.2748885820941,1,122.070323062632,2.02096266120477e-20
"stand_nod2",8.68550112613458,1,27.9715986037233,5.06519426676563e-07,17197.9844498715,1,27.9715986037234,5.0651942667655e-07,9.17067576504271,1,23.189434221846,4.01532170488789e-06,8.47253372630924,1,21.4240769788795,8.7969871529848e-06
"env2",31.8466002665878,4,25.6404410814539,1.13130618983438e-15,63058.8066493981,4,25.640441081454,1.1313061898343e-15,0,4,0,1,5.49152804582823,4,3.47153883908911,0.00992651663575876
"stand_nod:env2",10.8796947284295,4,8.75949612622156,2.71403578683245e-06,21542.6626560293,4,8.75949612622158,2.71403578683235e-06,1.07708109063199,4,0.680890420257056,0.606410206857225,6.39953937961403,4,4.04554967637604,0.00399712286809829
"Residuals2",40.3664861059174,130,NA,NA,79928.8596321301,130,NA,NA,51.4108208958558,130,NA,NA,51.4108208958558,130,NA,NA
"(Intercept)3",23.7608201858622,1,11.7300018007889,0.000983427380329405,0.319253588929705,1,11.7300018007889,0.000983427380329405,83.9999999999999,1,28.2486261023264,9.84789397948129e-07,18.2860342600414,1,6.14946838936001,0.0153006945504395
"stand_nod3",0.855839473045705,1,0.422502189801748,0.517600979408575,0.0114991747414561,1,0.422502189801745,0.517600979408577,0.285796910050237,1,0.0961115482524925,0.757373585687062,0.0961361796012454,1,0.0323299403864486,0.85777173157682
