"","Sum Sq","Df","F value","Pr(>F)","Sum Sq","Df","F value","Pr(>F)","Sum Sq","Df","F value","Pr(>F)"
"(Intercept)",5.07272716231738,1,110.238857043723,4.72058405435873e-19,29.2479102164609,1,588.335014133984,4.28371843684366e-50,2.85329514836929,1,110.238857043722,4.72058405435948e-19
"stand_nod",0.340235125399648,1,7.39387910093126,0.0074390199881356,0.410279040102528,1,8.25294946104381,0.00475324073919165,0.19137461991237,1,7.39387910093129,0.00743901998813544
"env",1.18081569597553,4,6.41527567610022,9.62428585137074e-05,0.0486770932854004,4,0.244790466687338,0.912368227064821,0.664182320207057,4,6.41527567610024,9.6242858513705e-05
"stand_nod:env",0.101979099587314,4,0.554044157172731,0.696409559317315,0.385225534033529,4,1.93724669842251,0.108052301453702,0.0573609541331268,4,0.554044157172734,0.696409559317313
"Residuals",5.98205159946196,130,NA,NA,6.46269257616209,130,NA,NA,3.36476973034012,130,NA,NA
"(Intercept)1",0.0518961763989978,1,0.0824387823173722,0.774514454395738,25.5401604949001,1,47.8286449107953,2.42338976600851e-10,2060.01148947515,1,0.0824387823173857,0.77451445439572
"stand_nod1",0.242117152853538,1,0.384611057006123,0.536321691852567,4.47529247228992,1,8.38080773109673,0.00450636239441354,9610.80663905805,1,0.384611057006122,0.536321691852567
"env1",43.7793825200034,4,17.3862470994358,2.81925314934376e-11,0.191180893270527,4,0.0895053406163067,0.985584675474993,1737816.48767213,4,17.3862470994358,2.81925314934373e-11
"stand_nod:env1",8.17052030328909,4,3.24478502772474,0.014452570603151,2.60165722523878,4,1.21802033732715,0.306781748153477,324327.664727295,4,3.24478502772474,0.014452570603151
"Residuals1",75.5414016658445,120,NA,NA,64.0791572728889,120,NA,NA,2998605.41104674,120,NA,NA
"(Intercept)2",0.207480972633917,1,0.668191092274817,0.415178599371722,28,1,70.8022151090261,6.18033881612433e-14,410.828861706716,1,0.66819109227481,0.415178599371724
"stand_nod2",0.0523284228360055,1,0.168523337672523,0.682103324920778,1.08564261277731,1,2.74521077862086,0.0999577794703352,103.614447704342,1,0.168523337672514,0.682103324920786
"env2",31.8466002665878,4,25.6404410814539,1.13130618983438e-15,0,4,0,1,63058.8066493979,4,25.6404410814539,1.13130618983438e-15
"stand_nod:env2",10.8796947284296,4,8.75949612622158,2.7140357868324e-06,1.07708109063199,4,0.680890420257056,0.606410206857225,21542.6626560293,4,8.75949612622158,2.7140357868324e-06
"Residuals2",40.3664861059174,130,NA,NA,51.4108208958558,130,NA,NA,79928.8596321301,130,NA,NA
"(Intercept)3",10.4765058658284,1,4.86159416362118,0.0304072242476776,27.9999999999999,1,6.94832973791916,0.0101188442688641,3.91820830391189,1,4.86159416362118,0.0304072242476775
"stand_nod3",2.13106113989292,1,0.98891314840152,0.323083180112805,5.07150753487196,1,1.258518093594,0.265373469506834,0.79701587164741,1,0.988913148401523,0.323083180112805
"env3",16.9332699060483,2,3.92891901176621,0.023673993217174,0,2,0,1,6.33303504126027,2,3.92891901176621,0.0236739932171738
"stand_nod:env3",0.664134232758528,2,0.15409484570477,0.857451021542567,2.11388954211753,2,0.262285742288779,0.769966936354858,0.248385893067109,2,0.154094845704769,0.857451021542569
"Residuals3",168.086316963558,78,NA,NA,314.320143455662,78,NA,NA,62.8642040901013,78,NA,NA
"(Intercept)4",8.28484737694521,1,2.2279129982675,0.139570746502619,27.9999999999999,1,5.92277258032818,0.0172336189802415,44.8307491653313,1,2.2279129982675,0.139570746502619
"stand_nod4",1.64405958740628,1,0.442110947620052,0.508066544476052,4.8800432446638,1,1.03226379715395,0.312768763259243,8.89629218529376,1,0.442110947620054,0.508066544476051
"env4",10.7827141574846,2,1.44981240661796,0.240866117614273,0,2,0,1,58.3471404748916,2,1.44981240661797,0.240866117614272
"stand_nod:env4",3.02952367767648,2,0.407340948659894,0.666824503281794,3.79117565509557,2,0.400969128878711,0.671043097704965,16.3932791884965,2,0.407340948659894,0.666824503281794
"Residuals4",290.055354901312,78,NA,NA,368.746219845399,78,NA,NA,1569.53994056997,78,NA,NA
