"position","block","line","pop","survival","leaf","nod","plant_ID","shoot","root","choice","totalred","env","dataset","diss","flo","fru","flo_bin"
"A01","one","DE7","DE",1,75,53,"1-A01",300.3,57.9,NA,NA,"plot_1","KSR-field","Rebecca",0,0,0
"A03","two","FZ24","FZ",1,8,6,"1-A03",8.5,3.9,NA,NA,"plot_1","KSR-field","Simran",0,0,0
"A04","two","WT18","WT",1,54,32,"1-A04",150.3,82.6,NA,NA,"plot_1","KSR-field","not recoreded",0,0,0
"A06","two","FZ24","FZ",0,1,14,"1-A06",4.5,8.4,NA,NA,"plot_1","KSR-field","Andrea",0,0,0
"A07","one","HTR1","HTR",1,78,19,"1-A07",363.8,61.2,NA,NA,"plot_1","KSR-field","Rebecca",0,0,0
"A08","two","WT18","WT",1,72,39,"1-A08",174.3,62,NA,NA,"plot_1","KSR-field","Andrea and Jessica",0,0,0
"A09","one","KA7","KA",1,49,4,"1-A09",177,12.9,NA,NA,"plot_1","KSR-field","Simran",0,0,0
"A10","one","RBE17","RBE",1,2,21,"1-A10",NA,NA,NA,NA,"plot_1","KSR-field","Steffi",0,0,0
"A12","two","HTR30","HTR",1,9,1,"1-A12",8.6,5.1,NA,NA,"plot_1","KSR-field","Rebecca",0,0,0
"A13","one","FOR43","FOR",1,220,100,"1-A13",620.8,189.1,NA,NA,"plot_1","KSR-field","Andrea and Jessica",10,1,1
"A14","one","WR31","WR",1,64,53,"1-A14",122.3,45.2,NA,NA,"plot_1","KSR-field","Grant",0,0,0
"A16","one","RBE38","RBE",1,53,17,"1-A16",116.8,28.6,NA,NA,"plot_1","KSR-field","Grant",0,0,0
"B03","two","FZ24","FZ",1,14,11,"1-B03",46.9,33.2,NA,NA,"plot_1","KSR-field","Steffi",0,0,0
"B05","one","FOR15","FOR",1,212,48,"1-B05",754.5,140,NA,NA,"plot_1","KSR-field","Jing Qi",0,0,0
"B06","one","WT18","WT",1,21,29,"1-B06",82,26.6,NA,NA,"plot_1","KSR-field","Grant",0,0,0
"B07","one","WT18","WT",1,145,32,"1-B07",564.6,90.3,NA,NA,"plot_1","KSR-field","Andrea and Jessica",0,0,0
"B08","two","RBE38","RBE",1,22,5,"1-B08",25,13.7,NA,NA,"plot_1","KSR-field","Andrea and Jessica",0,0,0
"B09","one","RBE38","RBE",1,42,13,"1-B09",155.5,35.5,NA,NA,"plot_1","KSR-field","Steffi",0,0,0
"B10","one","HTR30","HTR",1,27,15,"1-B10",54.8,26.9,NA,NA,"plot_1","KSR-field","Steffi",0,0,0
"B12","one","FOR15","FOR",1,79,83,"1-B12",715,360.1,NA,NA,"plot_1","KSR-field","Andrea and Jessica",0,0,0
"B13","two","HTR30","HTR",1,25,20,"1-B13",178.6,70.4,NA,NA,"plot_1","KSR-field","Monika",0,0,0
"B14","one","AC15","AC",1,54,20,"1-B14",112.55,35.1,NA,NA,"plot_1","KSR-field","Rebecca",0,0,0
"C02","two","FOR26","FOR",1,1,8,"1-C02",17.3,109,NA,NA,"plot_1","KSR-field","Steffi",0,0,0
"C03","one","FOR26","FOR",1,31,14,"1-C03",49.8,23.9,NA,NA,"plot_1","KSR-field","Steffi",0,0,0
"C08","one","FZ24","FZ",1,180,66,"1-C08",467.2,114.8,NA,NA,"plot_1","KSR-field","Samriti",0,0,0
"C09","one","DE15","DE",1,27,9,"1-C09",61.1,23.1,NA,NA,"plot_1","KSR-field","Steffi",0,0,0
"C10","one","HTD2","HTD",1,81,19,"1-C10",232.4,39.9,NA,NA,"plot_1","KSR-field","Grant",0,0,0
"C12","one","KA7","KA",1,67,13,"1-C12",157.6,46.1,NA,NA,"plot_1","KSR-field","Steffi",0,1,0
"C13","one","KA24","KA",1,21,15,"1-C13",55.4,21.2,NA,NA,"plot_1","KSR-field","Rebecca",0,0,0
"C14","one","FOR43","FOR",1,159,63,"1-C14",429.8,106.3,NA,NA,"plot_1","KSR-field","Grant",0,1,0
"C15","one","FOR26","FOR",1,69,23,"1-C15",176.8,58.8,NA,NA,"plot_1","KSR-field","Samriti",0,0,0
"C16","one","HTR30","HTR",1,27,4,"1-C16",NA,NA,NA,NA,"plot_1","KSR-field","Madeline",0,0,0
"D01","one","KA16","KA",0,7,4,"1-D01",8.2,8,NA,NA,"plot_1","KSR-field","Steffi",0,0,0
"D02","one","FZ24","FZ",1,30,5,"1-D02",177.8,48.6,NA,NA,"plot_1","KSR-field","Steffi",0,0,0
"D03","two","RBE38","RBE",1,21,8,"1-D03",44,12.6,NA,NA,"plot_1","KSR-field","Rebecca",0,0,0
"D04","one","KA16","KA",1,42,24,"1-D04",117.9,29.3,NA,NA,"plot_1","KSR-field","Rebecca",0,0,0
"D05","one","FOR15","FOR",1,39,14,"1-D05",94.4,39.6,NA,NA,"plot_1","KSR-field","Jing Qi",0,0,0
"D06","one","AC3","AC",1,446,44,"1-D06",1304.7,220.3,NA,NA,"plot_1","KSR-field","Jing Qi",5,20,1
"D09","one","AC20","AC",1,121,18,"1-D09",335,74.2,NA,NA,"plot_1","KSR-field","Grant",0,0,0
"D13","one","WT18","WT",1,409,46,"1-D13",2029.4,241.4,NA,NA,"plot_1","KSR-field","Andrea and Jessica",0,7,0
"D15","two","WR40a","WR",0,8,7,"1-D15",11,8.3,NA,NA,"plot_1","KSR-field","Grant",0,0,0
"E03","one","FZ19","FZ",1,172,36,"1-E03",908.2,194.6,NA,NA,"plot_1","KSR-field","Steffi",4,22,1
"E04","two","WR40a","WR",1,34,5,"1-E04",7.5,13,NA,NA,"plot_1","KSR-field","Steffi",0,0,0
"E05","one","RBE34","RBE",1,90,45,"1-E05",262,68.9,NA,NA,"plot_1","KSR-field","Andrea",0,0,0
"E07","one","HTD2","HTD",1,217,66,"1-E07",655.6,147.5,NA,NA,"plot_1","KSR-field","Andrea and Jessica",0,11,0
"E08","one","FZ17","FZ",1,24,38,"1-E08",80.1,30.4,NA,NA,"plot_1","KSR-field","Grant",0,0,0
"E09","one","DE7","DE",1,17,52,"1-E09",86.9,65.8,NA,NA,"plot_1","KSR-field","Steffi",0,0,0
"E13","one","KA24","KA",1,54,122,"1-E13",90.5,56.2,NA,NA,"plot_1","KSR-field","Grant",0,0,0
"F02","two","FZ24","FZ",1,12,20,"1-F02",24.3,12.8,NA,NA,"plot_1","KSR-field","Rebecca",0,0,0
"F04","one","WT18","WT",1,111,57,"1-F04",605.8,153.6,NA,NA,"plot_1","KSR-field","Steffi",0,0,0
"F05","two","RBE34","RBE",1,27,23,"1-F05",72.1,33,NA,NA,"plot_1","KSR-field","Rebecca",0,0,0
"F07","one","HTD28","HTD",1,33,14,"1-F07",116,22.3,NA,NA,"plot_1","KSR-field","Rebecca",0,0,0
"F08","one","FZ24","FZ",1,372,178,"1-F08",1039.3,225.1,NA,NA,"plot_1","KSR-field","Grant",6,20,1
"F10","one","FZ19","FZ",1,38,72,"1-F10",166.7,151.3,NA,NA,"plot_1","KSR-field","Steffi",0,0,0
"F13","one","WT18","WT",1,3,5,"1-F13",63.3,21.5,NA,NA,"plot_1","KSR-field","Samriti",0,0,0
"F14","one","HTR30","HTR",1,6,25,"1-F14",56.4,17.5,NA,NA,"plot_1","KSR-field","Simran",0,0,0
"F16","two","WR40a","WR",1,60,17,"1-F16",93.5,45.8,NA,NA,"plot_1","KSR-field","Samriti",0,0,0
"G16","one","RBE17","RBE",0,12,7,"1-G16",4.5,1.9,NA,NA,"plot_1","KSR-field","Grant",0,0,0
"H04","two","FOR26","FOR",1,18,13,"1-H04",50.7,35.6,NA,NA,"plot_1","KSR-field","Rebecca",0,0,0
"H08","one","FZ24","FZ",1,93,37,"1-H08",248.1,59.5,NA,NA,"plot_1","KSR-field","Andrea and Jessica",0,0,0
"H09","one","HTD2","HTD",1,72,5,"1-H09",129.8,20.3,NA,NA,"plot_1","KSR-field","Rebecca",0,0,0
"H12","one","RBE17","RBE",1,151,61,"1-H12",359.3,99.8,NA,NA,"plot_1","KSR-field","Grant",1,1,1
"H13","two","WR31","WR",1,12,34,"1-H13",40.8,24.8,NA,NA,"plot_1","KSR-field","Rebecca",0,0,0
"H14","one","HTR1","HTR",1,68,28,"1-H14",132.1,38.9,NA,NA,"plot_1","KSR-field","Grant",0,0,0
"H16","one","HTR25","HTR",1,37,13,"1-H16",65.7,20.2,NA,NA,"plot_1","KSR-field","Andrea and Jessica",0,0,0
"I03","two","WR40a","WR",1,6,18,"1-I03",18.9,21.2,NA,NA,"plot_1","KSR-field","Grant",0,0,0
"I04","two","WT18","WT",0,26,51,"1-I04",64.3,30.9,NA,NA,"plot_1","KSR-field","Grant",0,0,0
"I06","one","AC15","AC",1,66,3,"1-I06",380.5,52.5,NA,NA,"plot_1","KSR-field","Jing Qi",4,21,1
"I08","one","KA7","KA",1,75,28,"1-I08",213.5,66,NA,NA,"plot_1","KSR-field","Andrea and Jessica",0,6,0
"I13","one","HTD28","HTD",1,111,53,"1-I13",329.5,124.9,NA,NA,"plot_1","KSR-field","Andrea and Jessica",0,0,0
"I14","one","FZ17","FZ",1,254,162,"1-I14",1260.1,155.2,NA,NA,"plot_1","KSR-field","Grant",7,14,1
"J01","one","KA7","KA",1,21,11,"1-J01",100.3,21.9,NA,NA,"plot_1","KSR-field","Rebecca",0,0,0
"J03","two","FOR15","FOR",1,12,24,"1-J03",78.2,31.4,NA,NA,"plot_1","KSR-field","Rebecca",0,0,0
"J05","one","FZ24","FZ",1,145,11,"1-J05",434.6,116.5,NA,NA,"plot_1","KSR-field","Jing Qi",1,0,1
"J07","one","DU17","DU",1,51,21,"1-J07",235.1,59.4,NA,NA,"plot_1","KSR-field","Rebecca",0,0,0
"J08","one","AC3","AC",1,139,85,"1-J08",379.7,146.2,NA,NA,"plot_1","KSR-field","Andrea and Jessica",0,4,0
