"position","block","line","pop","survival","leaf","nod","plant_ID","shoot","root","choice","totalred","env","dataset","diss","flo","fru","fru_bin"
"A13","one","FOR43","FOR",1,220,100,"1-A13",620.8,189.1,NA,NA,"plot_1","KSR-field","Andrea and Jessica",10,1,1
"C12","one","KA7","KA",1,67,13,"1-C12",157.6,46.1,NA,NA,"plot_1","KSR-field","Steffi",0,1,1
"C14","one","FOR43","FOR",1,159,63,"1-C14",429.8,106.3,NA,NA,"plot_1","KSR-field","Grant",0,1,1
"D06","one","AC3","AC",1,446,44,"1-D06",1304.7,220.3,NA,NA,"plot_1","KSR-field","Jing Qi",5,20,1
"D13","one","WT18","WT",1,409,46,"1-D13",2029.4,241.4,NA,NA,"plot_1","KSR-field","Andrea and Jessica",0,7,1
"E03","one","FZ19","FZ",1,172,36,"1-E03",908.2,194.6,NA,NA,"plot_1","KSR-field","Steffi",4,22,1
"E07","one","HTD2","HTD",1,217,66,"1-E07",655.6,147.5,NA,NA,"plot_1","KSR-field","Andrea and Jessica",0,11,1
"F08","one","FZ24","FZ",1,372,178,"1-F08",1039.3,225.1,NA,NA,"plot_1","KSR-field","Grant",6,20,1
"H12","one","RBE17","RBE",1,151,61,"1-H12",359.3,99.8,NA,NA,"plot_1","KSR-field","Grant",1,1,1
"I06","one","AC15","AC",1,66,3,"1-I06",380.5,52.5,NA,NA,"plot_1","KSR-field","Jing Qi",4,21,1
"I08","one","KA7","KA",1,75,28,"1-I08",213.5,66,NA,NA,"plot_1","KSR-field","Andrea and Jessica",0,6,1
"I14","one","FZ17","FZ",1,254,162,"1-I14",1260.1,155.2,NA,NA,"plot_1","KSR-field","Grant",7,14,1
"J08","one","AC3","AC",1,139,85,"1-J08",379.7,146.2,NA,NA,"plot_1","KSR-field","Andrea and Jessica",0,4,1
"J12","one","AC15","AC",1,39,19,"1-J12",836.9,72.9,NA,NA,"plot_1","KSR-field","Monika",5,10,1
"J15","one","WR31","WR",1,91,95,"1-J15",305.8,63.5,NA,NA,"plot_1","KSR-field","Grant",4,7,1
"J16","one","RBE34","RBE",1,425,341,"1-J16",NA,NA,NA,NA,"plot_1","KSR-field","Grant",0,12,1
"O09","one","KA24","KA",1,10,23,"1-O09",30.6,25.9,NA,NA,"plot_1","KSR-field","Steffi",0,6,1
"P13","one","FZ17","FZ",1,54,33,"1-P13",141.5,98.8,NA,NA,"plot_1","KSR-field","not recorded",0,2,1
