"position","block","line","pop","survival","leaf","nod","plant_ID","shoot","root","choice","totalred","env","dataset","diss","flo","fru"
"80","7","WR40a","WR",0,1,3,"2353-80",3.315,0.383,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"80","7","WR40a","WR",0,1,3,"2353-80",3.6878,0.6252,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"79","7","FOR43","FOR",0,2,6,"2303-79",3.5065,0.7084,0.333333333333333,2,"GH","ESC-greenhouse","Simonsen",NA,NA
"25","3","FZ19","FZ",0,3,9,"707-25",5.1311,0.7797,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","AC20","AC",0,2,2,"945-33",5.3412,0.8318,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"40","4","RBE34","RBE",0,4,2,"1162-40",3.393,0.8363,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"83","7","FOR26","FOR",0,2,5,"2452-83",3.9216,0.8414,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"3","1","DE15","DE",0,3,3,"95-3",3.3839,0.9135,0.666666666666667,2,"GH","ESC-greenhouse","Simonsen",NA,NA
"45","4","FOR26","FOR",0,3,3,"1328-45",6.0013,0.9573,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"45","4","FZ24","FZ",0,3,0,"1324-45",4.3834,0.9834,NA,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"72","6","HTD2","HTD",0,2,3,"2083-72",3.8439,0.9913,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"85","7","DU4","DU",0,NA,6,"2473-85",3.9118,1.0259,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"93","8","WT39","WT",0,3,11,"2701-93",6.2247,1.0331,0.0909090909090909,1,"GH","ESC-greenhouse","Simonsen",NA,NA
"72","6","RBE34","RBE",0,2,6,"2073-72",3.1963,1.0346,0.166666666666667,1,"GH","ESC-greenhouse","Simonsen",NA,NA
"25","3","FOR15","FOR",0,2,4,"696-25",5.8077,1.1044,0.5,2,"GH","ESC-greenhouse","Simonsen",NA,NA
"92","8","AC3","AC",0,1,1,"2660-92",2.3209,1.1376,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"13","2","FZ19","FZ",0,4,3,"360-13",3.0534,1.1533,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"80","7","RBE38","RBE",0,2,1,"2332-80",5.4554,1.1555,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"5","1","HTR25","HTR",0,3,3,"159-5",2.5659,1.1719,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"3","1","AC20","AC",0,2,2,"80-3",4.3444,1.1875,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"52","4","FOR15","FOR",0,2,6,"1524-52",5.5893,1.2185,0.833333333333333,5,"GH","ESC-greenhouse","Simonsen",NA,NA
"94","8","RBE17","RBE",0,2,3,"2721-94",12.4425,1.2193,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"3","1","FOR26","FOR",0,5,11,"87-3",4.8853,1.2676,0.272727272727273,3,"GH","ESC-greenhouse","Simonsen",NA,NA
"98","8","KA7","KA",0,NA,NA,"2834-98",3.5516,1.273,NA,NA,"GH","ESC-greenhouse","Simonsen",NA,NA
"80","7","RBE34","RBE",0,NA,NA,"2352-80",4.9095,1.3017,NA,NA,"GH","ESC-greenhouse","Simonsen",NA,NA
"45","4","FZ17","FZ",0,2,1,"1322-45",4.2443,1.3451,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"48","4","HTD2","HTD",0,2,11,"1420-48",3.3684,1.3504,0.181818181818182,2,"GH","ESC-greenhouse","Simonsen",NA,NA
"45","4","FZ19","FZ",0,5,12,"1313-45",6.1781,1.3557,0.25,3,"GH","ESC-greenhouse","Simonsen",NA,NA
"93","8","HTD2","HTD",0,2,19,"2688-93",3.751,1.3582,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"36","3","WT39","WT",1,9,47,"1039-36",5.0185,1.3809,0.553191489361702,26,"GH","ESC-greenhouse","Simonsen",NA,NA
"41","4","HTD28","HTD",0,3,0,"1204-41",3.8614,1.4027,NA,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","FOR26","FOR",0,2,5,"935-33",4.8647,1.4819,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"79","7","AC15","AC",1,6,47,"2325-79",7.9,1.5,0.382978723404255,18,"GH","ESC-greenhouse","Simonsen",NA,NA
"5","1","HTD2","HTD",0,3,5,"160-5",3.188,1.5488,0.6,3,"GH","ESC-greenhouse","Simonsen",NA,NA
"15","2","HTD2","HTD",1,3,4,"411-15",4.2501,1.5554,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"5","1","FOR43","FOR",0,4,9,"138-5",5.268,1.558,0.333333333333333,3,"GH","ESC-greenhouse","Simonsen",NA,NA
"39","4","DE7","DE",0,3,2,"1116-39",3.3511,1.5874,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"68","6","KA7","KA",1,8,40,"1973-68",7,1.6,0.475,19,"GH","ESC-greenhouse","Simonsen",NA,NA
"61","5","HTD2","HTD",0,3,4,"1785-61",3.6927,1.6837,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"25","3","FZ24","FZ",1,8,24,"703-25",5.12,1.7,0.5,12,"GH","ESC-greenhouse","Simonsen",NA,NA
"80","7","FZ24","FZ",1,6,23,"2345-80",6,1.7,0.565217391304348,13,"GH","ESC-greenhouse","Simonsen",NA,NA
"98","8","HTR1","HTR",1,NA,NA,"2847-98",8.1314,1.74,NA,NA,"GH","ESC-greenhouse","Simonsen",NA,NA
"15","2","FZ17","FZ",1,2,2,"434-15",4.3289,1.7648,0.5,1,"GH","ESC-greenhouse","Simonsen",NA,NA
"98","8","DE7","DE",1,6,0,"2835-98",0.8,1.8,NA,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"57","5","FOR15","FOR",0,2,10,"1678-57",6.602,1.806,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"85","7","WR31","WR",0,2,24,"2474-85",4.6322,1.832,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"22","2","HTR25","HTR",0,NA,33,"617-22",1.5,1.9,0.787878787878788,26,"GH","ESC-greenhouse","Simonsen",NA,NA
"40","4","FZ17","FZ",0,2,4,"1166-40",5.5723,1.9252,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"80","7","DE7","DE",0,3,4,"2348-80",4.9325,1.9691,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"52","4","WT39","WT",1,9,18,"1520-52",9,2,0.444444444444444,8,"GH","ESC-greenhouse","Simonsen",NA,NA
"72","6","WT30","WT",1,8,54,"2091-72",9,2,0.333333333333333,18,"GH","ESC-greenhouse","Simonsen",NA,NA
"35","3","FOR26","FOR",1,7,21,"1010-35",12.5,2,0.285714285714286,6,"GH","ESC-greenhouse","Simonsen",NA,NA
"5","1","HTR30","HTR",0,3,3,"144-5",5.7851,2.03,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"5","1","WR31","WR",0,2,3,"158-5",6.7708,2.0572,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"13","2","WT39","WT",0,3,3,"352-13",3.2692,2.0642,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"41","4","WT39","WT",0,3,8,"1190-41",7.5723,2.0979,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"72","6","RBE17","RBE",0,2,6,"2103-72",6.1798,2.1017,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"7","1","DE7","DE",0,3,10,"184-7",3.733,2.1371,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
