plant_ID,line,batch,type,pop,no,nod_alive,nod,leaf,fru,flo,root_BM,shoot_BM,seed_BM,date_diss,diss,diss_note,plot,loc,survive,field_notes,line_ID
1-A01,DE7,one,reference,de,7,53,53,75,0,0,0.0579,0.3003,0,3-Sep-14,Rebecca,NA,plot_1,A01,1,NA,de7
1-A02,WR34,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,A02,1,harv,wrx34
1-A03,FZ24,two,pool,fz,24,6,6,8,0,0,0.0039,0.0085,0,22-Sep-14,Simran,NA,plot_1,A03,1,harv,fzx24
1-A04,WT18,two,pheno,wt,18,32,32,54,0,0,0.0826,0.1503,0,30-Jul-15,not recoreded,NA,plot_1,A04,1,fewleaves,wtx18
1-A05,WR34,two,pheno,wr,34,8,8,18,0,0,0.0155,0.0284,0,24-Jun-15,Andrea,NA,plot_1,A05,1,fewleaves,wrx34
1-A06,FZ24,two,pheno,fz,24,14,14,1,0,0,0.0084,0.0045,0,24-Jun-15,Andrea,NA,plot_1,A06,0,died,fzx24
1-A07,HTR1,one,reference,htr,1,19,19,78,0,0,0.0612,0.3638,0,31-Aug-14,Rebecca,bushy shoot,plot_1,A07,1,NA,htr1
1-A08,WT18,two,pheno,wt,18,39,39,72,0,0,0.062,0.1743,0,2-Jul-15,Andrea and Jessica,NA,plot_1,A08,1,"fewleaves,mushroom",wtx18
1-A09,KA7,one,pool,ka,7,4,4,49,0,0,0.0129,0.177,0,19-Mar-15,Simran,NA,plot_1,A09,1,harv,ka7
1-A10,RBE17,one,pheno,rbe,17,4,21,2,0,0,NA,NA,NA,30-Jul-15,Steffi ,NA,plot_1,A10,1,noleaves,rbe17
1-A12,HTR30,two,reference,htr,30,1,1,9,0,0,0.0051,0.0086,0,2-Sep-14,Rebecca,NA,plot_1,A12,1,small,htrx30
1-A13,FOR43,one,pheno,for,43,97,100,220,1,10,0.1891,0.6208,0.0066,20-Aug-15,Andrea and Jessica ,NA,plot_1,A13,1,NA,for43
1-A14,WR31,one,pheno,wr,31,43,53,64,0,0,0.0452,0.1223,0,not recorded,Grant,10 senesced,plot_1,A14,1,fewleaves,wr31
1-A15,RBE38,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,A15,1,harv,rbe38
1-A16,RBE38,one,pheno,rbe,38,11,17,53,0,0,0.0286,0.1168,0,not recorded,Grant,6 senesced,plot_1,A16,1,fewleaves,rbe38
1-B01,WT39,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,B01,1,harv,wtx39
1-B02,FOR26,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,B02,1,fewleaves,forx26
1-B03,FZ24,two,NA,fz,24,4,11,14,0,0,0.0332,0.0469,0,11-Aug-15,Steffi ,NA,plot_1,B03,1,NA,fzx24
1-B04,FOR15,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,B04,1,harv,forx15
1-B05,FOR15,one,pheno,for,15,45,48,212,0,0,0.14,0.7545,0,not recorded,Jing Qi,3 senesced,plot_1,B05,1,NA,for15
1-B06,WT18,one,pheno,wt,18,24,29,21,0,0,0.0266,0.082,0,19-Jun-15,Grant,5 senesced,plot_1,B06,1,harv,wt18
1-B07,WT18,one,pheno,wt,18,31,32,145,0,0,0.0903,0.5646,0,2-Jul-15,Andrea and Jessica,1 senesced,plot_1,B07,1,NA,wt18
1-B08,RBE38,two,pheno,rbe,38,5,5,22,0,0,0.0137,0.025,0,17-Jun-15,Andrea and Jessica,NA,plot_1,B08,1,noleaves,rbex38
1-B09,RBE38,one,pheno,rbe,38,10,13,42,0,0,0.0355,0.1555,0,11-Aug-15,Steffi ,NA,plot_1,B09,1,fewleaves,rbe38
1-B10,HTR30,one,pheno,htr,30,10,15,27,0,0,0.0269,0.0548,0,11-Aug-15,Steffi ,NA,plot_1,B10,1,small,htr30
1-B12,FOR15,one,pheno,for,15,80,83,79,0,0,0.3601,0.715,0,20-Aug-15,Andrea and Jessica ,NA,plot_1,B12,1,large,for15
1-B13,HTR30,two,pheno,htr,30,10,20,25,0,0,0.0704,0.1786,0,12-Aug-15,Monika ,NA,plot_1,B13,1,small,htrx30
1-B14,AC15,one,reference,ac,15,20,20,54,0,0,0.0351,0.11255,0,4-Sep-14,Rebecca,NA,plot_1,B14,1,fewleaves,ac15
1-B15,HTR30,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,B15,1,harv,htrx30
1-B16,WR31,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,B16,1,small,wrx31
1-C01,FOR26,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,C01,1,harv,forx26
1-C02,FOR26,two,pheno,for,26,7,8,1,0,0,0.109,0.0173,0,23-Jul-15,Steffi ,NA,plot_1,C02,1,fewleaves,forx26
1-C03,FOR26,one,pheno,for,26,11,14,31,0,0,0.0239,0.0498,0,11-Aug-15,Steffi ,NA,plot_1,C03,1,fewleaves,for26
1-C04,AC20,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,C04,1,harv,ac20
1-C05,AC3,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,C05,1,harv,ac3
1-C06,DE7,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,C06,1,harv,de7
1-C07,HTD2,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,C07,1,harv,htd2
1-C08,FZ24,one,pheno,fz,24,66,66,180,0,0,0.1148,0.4672,0,not recorded,Samriti,NA,plot_1,C08,1,short,fz24
1-C09,DE15,one,pheno,de,15,9,9,27,0,0,0.0231,0.0611,0,18-Aug-15,Steffi ,NA,plot_1,C09,1,"herb,small",de15
1-C10,HTD2,one,pheno,htd,2,18,19,81,0,0,0.0399,0.2324,0,14-Aug-15,Grant ,NA,plot_1,C10,1,short,htd2
1-C12,KA7,one,pheno,ka,7,5,13,67,1,0,0.0461,0.1576,0.0124,11-Aug-15,Steffi ,NA,plot_1,C12,1,"inflower,bagged",ka7
1-C13,KA24,one,reference,ka,24,15,15,21,0,0,0.0212,0.0554,0,4-Sep-14,Rebecca,NA,plot_1,C13,1,fewleaves,ka24
1-C14,FOR43,one,pheno,for,43,52,63,159,1,0,0.1063,0.4298,0.0105,not recorded,Grant,11 senesced,plot_1,C14,1,short,for43
1-C15,FOR26,one,pheno,for,26,23,23,69,0,0,0.0588,0.1768,0,not recorded,Samriti,NA,plot_1,C15,1,midsize,for26
1-C16,HTR30,one,pool,htr,30,4,4,27,0,0,NA,NA,NA,not recorded,Madeline,labeled C18,plot_1,C16,1,harv,htr30
1-C17,HTR25,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,C17,1,NA,htr25
1-D01,KA16,one,pheno,ka,16,0,4,7,0,0,0.008,0.0082,0,30-Jul-15,Steffi ,died,plot_1,D01,0,died,ka16
1-D02,FZ24,one,pheno,fz,24,1,5,30,0,0,0.0486,0.1778,0,30-Jul-15,Steffi ,in notebook,plot_1,D02,1,NA,fz24
1-D03,RBE38,two,reference,rbe,38,8,8,21,0,0,0.0126,0.044,0,31-Aug-14,Rebecca,NA,plot_1,D03,1,NA,rbex38
1-D04,KA16,one,reference,ka,16,24,24,42,0,0,0.0293,0.1179,0,4-Sep-14,Rebecca,giant cluster of nodules (~14 projections) included in count,plot_1,D04,1,NA,ka16
1-D05,FOR15,one,pheno,for,15,6,14,39,0,0,0.0396,0.0944,0,not recorded,Jing Qi,8 senesced,plot_1,D05,1,NA,for15
1-D06,AC3,one,pheno,ac,3,39,44,446,20,5,0.2203,1.3047,0.496,not recorded,Jing Qi,5 senesced,plot_1,D06,1,"inflower,bagged",ac3
1-D07,WR34,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,D07,1,harv,wrx34
1-D08,WT39,one,pheno,wt,39,26,26,180,0,0,0.0914,0.5503,0,not recorded,Samriti,NA,plot_1,D08,1,short,wt39
1-D09,AC20,one,pheno,ac,20,15,18,121,0,0,0.0742,0.335,0,not recorded,Grant,3 senesced,plot_1,D09,1,fewleaves,ac20
1-D10,RBE34,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,D10,1,harv,rbe34
1-D12,WR40a,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,D12,1,harv,wrx40
1-D13,WT18,one,pheno,wt,18,42,46,409,7,0,0.2414,2.0294,0.207,20-Aug-15,Andrea and Jessica ,NA,plot_1,D13,1,"largeinflower,",wt18
1-D14,WR40a,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,D14,0,died,wrx40
1-D15,WR40a,two,pheno,wr,40a,6,7,8,0,0,0.0083,0.011,0,not recorded,Grant,1 senesced,plot_1,D15,0,died,wrx40
1-D16,FOR43,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,D16,0,died,for43
1-E01,FOR26,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,E01,0,died,for26
1-E02,RBE17,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,E02,1,harv,rbex17
1-E03,FZ19,one,pheno,fz,19,9,36,172,22,4,0.1946,0.9082,0.5345,18-Aug-15,Steffi ,NA,plot_1,E03,1,inflower,fz19
1-E04,WR40a,two,pheno,wr,40a,2,5,34,0,0,0.013,0.0075,0,30-Jul-15,Steffi ,NA,plot_1,E04,1,fewleaves,wrx40
1-E05,RBE34,one,pheno,rbe,34,39,45,90,0,0,0.0689,0.262,0,24-Jun-15,Andrea,6 senesced,plot_1,E05,1,fewleaves,rbe34
1-E06,HTR25,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,E06,1,harv,htr25
1-E07,HTD2,one,pheno,htd,2,63,66,217,11,0,0.1475,0.6556,0.1939,2-Jul-15,Andrea and Jessica,3 senesced,plot_1,E07,1,"inflower,bagged",htd2
1-E08,FZ17,one,pheno,fz,17,19,38,24,0,0,0.0304,0.0801,0.0028,19-Jun-15,Grant,19 senesced,plot_1,E08,1,fewleaves,fz17
1-E09,DE7,one,pheno,de,7,46,52,17,0,0,0.0658,0.0869,0,11-Aug-15,Steffi ,in notebook,plot_1,E09,1,fewleaves,de7
1-E10,FOR26,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,E10,1,harv,forx26
1-E12,FOR43,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,E12,1,harv,for43
1-E13,KA24,one,pheno,ka,24,99,122,54,0,0,0.0562,0.0905,0,14-Aug-15,Grant ,NA,plot_1,E13,1,fewleaves,ka24
1-E14,DU4,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,E14,0,died,dux4
1-E15,DU4,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,E15,1,harv,du4
1-E16,WR40a,two,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,E16,1,small,wrx40
1-F01,WT18,one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plot_1,F01,0,died,wt18
1-F02,FZ24,two,reference,fz,24,20,20,12,0,0,0.0128,0.0243,0,5-Sep-14,Rebecca,NA,plot_1,F02,1,NA,fzx24
1-F03,WT39,two,pheno,wt,39,9,13,34,0,0,NA,0.0657,0,30-Jul-15,Steffi ,NA,plot_1,F03,1,NA,wtx39
